inventory_id,date_key,product_id,facility_id,stock_level,safety_stock_level,reorder_point,Safety_Status,Reorder_Status
152,120,3,5,176,91,137,Safe,Sufficient Stock
153,120,3,6,189,91,137,Safe,Sufficient Stock
154,120,4,4,367,127,205,Safe,Sufficient Stock
155,120,4,5,212,127,205,Safe,Sufficient Stock
156,120,4,6,167,127,205,Safe,Overdue / Order Now
157,120,5,4,81,74,114,Warning,Overdue / Order Now
158,120,5,5,151,74,114,Safe,Sufficient Stock
159,120,5,6,116,74,114,Safe,Sufficient Stock
160,120,6,4,180,140,299,Safe,Overdue / Order Now
161,120,6,5,275,140,299,Safe,Overdue / Order Now
162,120,6,6,335,140,299,Safe,Sufficient Stock
163,120,7,4,115,50,91,Safe,Sufficient Stock
164,120,7,5,147,50,91,Safe,Sufficient Stock
165,120,7,6,94,50,91,Safe,Sufficient Stock
166,120,8,4,71,35,51,Safe,Sufficient Stock
167,120,8,5,33,35,51,Critical,Overdue / Order Now
168,120,8,6,56,35,51,Safe,Sufficient Stock
169,120,9,4,77,35,57,Safe,Sufficient Stock
170,120,9,5,45,35,57,Safe,Overdue / Order Now
171,120,9,6,83,35,57,Safe,Sufficient Stock
172,120,10,4,15,12,17,Safe,Overdue / Order Now
173,120,10,5,20,12,17,Safe,Sufficient Stock
174,120,10,6,26,12,17,Safe,Sufficient Stock
175,120,11,4,70,35,57,Safe,Sufficient Stock
176,120,11,5,99,35,57,Safe,Sufficient Stock
177,120,11,6,84,35,57,Safe,Sufficient Stock
178,120,12,4,48,19,37,Safe,Sufficient Stock
179,120,12,5,20,19,37,Warning,Overdue / Order Now
180,120,12,6,25,19,37,Safe,Overdue / Order Now
181,120,13,4,82,31,72,Safe,Sufficient Stock
182,120,13,5,88,31,72,Safe,Sufficient Stock
183,120,13,6,83,31,72,Safe,Sufficient Stock
184,120,14,4,47,29,51,Safe,Overdue / Order Now
185,120,14,5,34,29,51,Safe,Overdue / Order Now
186,120,14,6,52,29,51,Safe,Sufficient Stock
187,120,15,4,230,91,211,Safe,Sufficient Stock
188,120,15,5,157,91,211,Safe,Overdue / Order Now
189,120,15,6,243,91,211,Safe,Sufficient Stock
190,120,16,4,478,311,429,Safe,Sufficient Stock
191,120,16,5,389,311,429,Safe,Overdue / Order Now
192,120,16,6,579,311,429,Safe,Sufficient Stock
193,151,1,4,179,124,292,Safe,Overdue / Order Now
194,151,1,5,201,124,292,Safe,Overdue / Order Now
195,151,1,6,201,124,292,Safe,Overdue / Order Now
196,151,2,4,252,138,226,Safe,Sufficient Stock
197,151,2,5,174,138,226,Safe,Overdue / Order Now
198,151,2,6,318,138,226,Safe,Sufficient Stock
199,151,3,4,171,58,127,Safe,Sufficient Stock
200,151,3,5,109,58,127,Safe,Overdue / Order Now
201,151,3,6,81,58,127,Safe,Overdue / Order Now
202,151,4,4,142,86,120,Safe,Sufficient Stock
203,151,4,5,153,86,120,Safe,Sufficient Stock
204,151,4,6,104,86,120,Safe,Overdue / Order Now
205,151,5,4,221,149,238,Safe,Overdue / Order Now
206,151,5,5,236,149,238,Safe,Overdue / Order Now
207,151,5,6,177,149,238,Safe,Overdue / Order Now
208,151,6,4,160,70,139,Safe,Sufficient Stock
209,151,6,5,83,70,139,Safe,Overdue / Order Now
210,151,6,6,111,70,139,Safe,Overdue / Order Now
211,151,7,4,68,41,94,Safe,Overdue / Order Now
212,151,7,5,86,41,94,Safe,Overdue / Order Now
213,151,7,6,104,41,94,Safe,Sufficient Stock
214,151,8,4,110,60,126,Safe,Overdue / Order Now
215,151,8,5,164,60,126,Safe,Sufficient Stock
216,151,8,6,104,60,126,Safe,Overdue / Order Now
217,151,9,4,171,90,161,Safe,Sufficient Stock
218,151,9,5,224,90,161,Safe,Sufficient Stock
219,151,9,6,199,90,161,Safe,Sufficient Stock
220,151,10,4,33,27,46,Safe,Overdue / Order Now
221,151,10,5,54,27,46,Safe,Sufficient Stock
222,151,10,6,32,27,46,Safe,Overdue / Order Now
223,151,11,4,58,28,43,Safe,Sufficient Stock
224,151,11,5,26,28,43,Critical,Overdue / Order Now
225,151,11,6,48,28,43,Safe,Sufficient Stock
226,151,12,4,30,12,21,Safe,Sufficient Stock
227,151,12,5,23,12,21,Safe,Sufficient Stock
228,151,12,6,24,12,21,Safe,Sufficient Stock
229,151,13,4,62,23,32,Safe,Sufficient Stock
230,151,13,5,53,23,32,Safe,Sufficient Stock
231,151,13,6,43,23,32,Safe,Sufficient Stock
232,151,14,4,17,16,30,Warning,Overdue / Order Now
233,151,14,5,21,16,30,Safe,Overdue / Order Now
234,151,14,6,29,16,30,Safe,Overdue / Order Now
235,151,15,4,156,128,182,Safe,Overdue / Order Now
236,151,15,5,203,128,182,Safe,Sufficient Stock
237,151,15,6,237,128,182,Safe,Sufficient Stock
238,151,16,4,168,120,213,Safe,Overdue / Order Now
239,151,16,5,233,120,213,Safe,Sufficient Stock
240,151,16,6,162,120,213,Safe,Overdue / Order Now
241,181,1,4,125,98,170,Safe,Overdue / Order Now
242,181,1,5,180,98,170,Safe,Sufficient Stock
243,181,1,6,219,98,170,Safe,Sufficient Stock
244,181,2,4,105,64,99,Safe,Sufficient Stock
245,181,2,5,143,64,99,Safe,Sufficient Stock
246,181,2,6,76,64,99,Safe,Overdue / Order Now
247,181,3,4,118,51,71,Safe,Sufficient Stock
248,181,3,5,86,51,71,Safe,Sufficient Stock
249,181,3,6,75,51,71,Safe,Sufficient Stock
250,181,4,4,129,84,123,Safe,Sufficient Stock
251,181,4,5,118,84,123,Safe,Overdue / Order Now
252,181,4,6,91,84,123,Warning,Overdue / Order Now
253,181,5,4,117,67,110,Safe,Sufficient Stock
254,181,5,5,75,67,110,Safe,Overdue / Order Now
255,181,5,6,137,67,110,Safe,Sufficient Stock
256,181,6,4,124,56,94,Safe,Sufficient Stock
257,181,6,5,82,56,94,Safe,Overdue / Order Now
258,181,6,6,100,56,94,Safe,Sufficient Stock
259,181,7,4,56,42,84,Safe,Overdue / Order Now
260,181,7,5,71,42,84,Safe,Overdue / Order Now
261,181,7,6,84,42,84,Safe,Reorder Point Reached
262,181,8,4,57,35,68,Safe,Overdue / Order Now
263,181,8,5,83,35,68,Safe,Sufficient Stock
264,181,8,6,68,35,68,Safe,Reorder Point Reached
265,181,9,4,47,39,70,Safe,Overdue / Order Now
266,181,9,5,62,39,70,Safe,Overdue / Order Now
267,181,9,6,69,39,70,Safe,Overdue / Order Now
268,181,10,4,39,21,49,Safe,Overdue / Order Now
269,181,10,5,30,21,49,Safe,Overdue / Order Now
270,181,10,6,57,21,49,Safe,Sufficient Stock
271,181,11,4,49,21,38,Safe,Sufficient Stock
272,181,11,5,25,21,38,Safe,Overdue / Order Now
273,181,11,6,35,21,38,Safe,Overdue / Order Now
274,181,12,4,37,25,32,Safe,Sufficient Stock
275,181,12,5,47,25,32,Safe,Sufficient Stock
276,181,12,6,21,25,32,Critical,Overdue / Order Now
277,181,13,4,69,34,53,Safe,Sufficient Stock
278,181,13,5,35,34,53,Warning,Overdue / Order Now
279,181,13,6,74,34,53,Safe,Sufficient Stock
280,181,14,4,25,17,23,Safe,Sufficient Stock
281,181,14,5,24,17,23,Safe,Sufficient Stock
282,181,14,6,35,17,23,Safe,Sufficient Stock
283,181,15,4,276,138,287,Safe,Overdue / Order Now
284,181,15,5,296,138,287,Safe,Sufficient Stock
285,181,15,6,302,138,287,Safe,Sufficient Stock
286,181,16,4,389,341,506,Safe,Overdue / Order Now
287,181,16,5,305,341,506,Critical,Overdue / Order Now
288,181,16,6,317,341,506,Critical,Overdue / Order Now
289,212,1,4,184,77,106,Safe,Sufficient Stock
290,212,1,5,186,77,106,Safe,Sufficient Stock
291,212,1,6,118,77,106,Safe,Sufficient Stock
292,212,2,4,165,66,103,Safe,Sufficient Stock
293,212,2,5,79,66,103,Safe,Overdue / Order Now
294,212,2,6,174,66,103,Safe,Sufficient Stock
295,212,3,4,233,105,157,Safe,Sufficient Stock
296,212,3,5,179,105,157,Safe,Sufficient Stock
297,212,3,6,168,105,157,Safe,Sufficient Stock
298,212,4,4,413,224,333,Safe,Sufficient Stock
299,212,4,5,242,224,333,Warning,Overdue / Order Now
300,212,4,6,413,224,333,Safe,Sufficient Stock
301,212,5,4,175,141,213,Safe,Overdue / Order Now
302,212,5,5,191,141,213,Safe,Overdue / Order Now
303,212,5,6,282,141,213,Safe,Sufficient Stock
304,212,6,4,102,86,97,Safe,Sufficient Stock
305,212,6,5,131,86,97,Safe,Sufficient Stock
306,212,6,6,157,86,97,Safe,Sufficient Stock
307,212,7,4,137,65,88,Safe,Sufficient Stock
308,212,7,5,101,65,88,Safe,Sufficient Stock
309,212,7,6,134,65,88,Safe,Sufficient Stock
310,212,8,4,93,84,128,Safe,Overdue / Order Now
311,212,8,5,185,84,128,Safe,Sufficient Stock
312,212,8,6,108,84,128,Safe,Overdue / Order Now
313,212,9,4,157,91,132,Safe,Sufficient Stock
314,212,9,5,121,91,132,Safe,Overdue / Order Now
315,212,9,6,138,91,132,Safe,Sufficient Stock
316,212,10,4,33,13,32,Safe,Sufficient Stock
317,212,10,5,27,13,32,Safe,Overdue / Order Now
318,212,10,6,25,13,32,Safe,Overdue / Order Now
319,212,11,4,21,16,28,Safe,Overdue / Order Now
320,212,11,5,27,16,28,Safe,Overdue / Order Now
321,212,11,6,27,16,28,Safe,Overdue / Order Now
322,212,12,4,28,29,45,Critical,Overdue / Order Now
323,212,12,5,52,29,45,Safe,Sufficient Stock
324,212,12,6,29,29,45,Warning,Overdue / Order Now
325,212,13,4,21,15,31,Safe,Overdue / Order Now
326,212,13,5,32,15,31,Safe,Sufficient Stock
327,212,13,6,37,15,31,Safe,Sufficient Stock
328,212,14,4,28,14,27,Safe,Sufficient Stock
329,212,14,5,26,14,27,Safe,Overdue / Order Now
330,212,14,6,21,14,27,Safe,Overdue / Order Now
331,212,15,4,226,119,163,Safe,Sufficient Stock
332,212,15,5,127,119,163,Warning,Overdue / Order Now
333,212,15,6,195,119,163,Safe,Sufficient Stock
334,212,16,4,284,114,213,Safe,Sufficient Stock
335,212,16,5,163,114,213,Safe,Overdue / Order Now
336,212,16,6,239,114,213,Safe,Sufficient Stock
337,243,1,4,123,71,98,Safe,Sufficient Stock
338,243,1,5,135,71,98,Safe,Sufficient Stock
339,243,1,6,130,71,98,Safe,Sufficient Stock
340,243,2,4,183,87,143,Safe,Sufficient Stock
341,243,2,5,147,87,143,Safe,Sufficient Stock
342,243,2,6,123,87,143,Safe,Overdue / Order Now
343,243,3,4,192,78,166,Safe,Sufficient Stock
344,243,3,5,181,78,166,Safe,Sufficient Stock
345,243,3,6,124,78,166,Safe,Overdue / Order Now
346,243,4,4,206,90,167,Safe,Sufficient Stock
347,243,4,5,134,90,167,Safe,Overdue / Order Now
348,243,4,6,214,90,167,Safe,Sufficient Stock
349,243,5,4,166,67,146,Safe,Sufficient Stock
350,243,5,5,124,67,146,Safe,Overdue / Order Now
351,243,5,6,153,67,146,Safe,Sufficient Stock
352,243,6,4,75,53,99,Safe,Overdue / Order Now
353,243,6,5,108,53,99,Safe,Sufficient Stock
354,243,6,6,85,53,99,Safe,Overdue / Order Now
355,243,7,4,56,24,58,Safe,Overdue / Order Now
356,243,7,5,55,24,58,Safe,Overdue / Order Now
357,243,7,6,33,24,58,Safe,Overdue / Order Now
358,243,8,4,134,55,108,Safe,Sufficient Stock
359,243,8,5,132,55,108,Safe,Sufficient Stock
360,243,8,6,135,55,108,Safe,Sufficient Stock
361,243,9,4,147,71,130,Safe,Sufficient Stock
362,243,9,5,137,71,130,Safe,Sufficient Stock
363,243,9,6,112,71,130,Safe,Overdue / Order Now
364,243,10,4,29,14,17,Safe,Sufficient Stock
365,243,10,5,18,14,17,Safe,Sufficient Stock
366,243,10,6,14,14,17,Warning,Overdue / Order Now
367,243,11,4,35,23,36,Safe,Overdue / Order Now
368,243,11,5,52,23,36,Safe,Sufficient Stock
369,243,11,6,59,23,36,Safe,Sufficient Stock
370,243,12,4,31,30,42,Warning,Overdue / Order Now
371,243,12,5,52,30,42,Safe,Sufficient Stock
372,243,12,6,32,30,42,Warning,Overdue / Order Now
373,243,13,4,35,18,34,Safe,Sufficient Stock
374,243,13,5,25,18,34,Safe,Overdue / Order Now
375,243,13,6,20,18,34,Safe,Overdue / Order Now
376,243,14,4,67,29,40,Safe,Sufficient Stock
377,243,14,5,59,29,40,Safe,Sufficient Stock
378,243,14,6,48,29,40,Safe,Sufficient Stock
379,243,15,4,145,124,173,Safe,Overdue / Order Now
380,243,15,5,189,124,173,Safe,Sufficient Stock
381,243,15,6,155,124,173,Safe,Overdue / Order Now
382,243,16,4,137,125,216,Warning,Overdue / Order Now
383,243,16,5,218,125,216,Safe,Sufficient Stock
384,243,16,6,177,125,216,Safe,Overdue / Order Now
385,273,1,4,141,86,201,Safe,Overdue / Order Now
386,273,1,5,243,86,201,Safe,Sufficient Stock
387,273,1,6,251,86,201,Safe,Sufficient Stock
388,273,2,4,186,105,166,Safe,Sufficient Stock
389,273,2,5,118,105,166,Safe,Overdue / Order Now
390,273,2,6,191,105,166,Safe,Sufficient Stock
391,273,3,4,110,46,80,Safe,Sufficient Stock
392,273,3,5,122,46,80,Safe,Sufficient Stock
393,273,3,6,92,46,80,Safe,Sufficient Stock
394,273,4,4,161,92,173,Safe,Overdue / Order Now
395,273,4,5,250,92,173,Safe,Sufficient Stock
396,273,4,6,127,92,173,Safe,Overdue / Order Now
397,273,5,4,65,36,53,Safe,Sufficient Stock
398,273,5,5,66,36,53,Safe,Sufficient Stock
399,273,5,6,48,36,53,Safe,Overdue / Order Now
400,273,6,4,156,87,99,Safe,Sufficient Stock
401,273,6,5,144,87,99,Safe,Sufficient Stock
402,273,6,6,149,87,99,Safe,Sufficient Stock
403,273,7,4,81,68,85,Safe,Overdue / Order Now
404,273,7,5,77,68,85,Safe,Overdue / Order Now
405,273,7,6,99,68,85,Safe,Sufficient Stock
406,273,8,4,68,64,73,Warning,Overdue / Order Now
407,273,8,5,72,64,73,Safe,Overdue / Order Now
408,273,8,6,102,64,73,Safe,Sufficient Stock
409,273,9,4,177,89,171,Safe,Sufficient Stock
410,273,9,5,153,89,171,Safe,Overdue / Order Now
411,273,9,6,141,89,171,Safe,Overdue / Order Now
412,273,10,4,78,27,59,Safe,Sufficient Stock
413,273,10,5,58,27,59,Safe,Overdue / Order Now
414,273,10,6,53,27,59,Safe,Overdue / Order Now
415,273,11,4,83,35,59,Safe,Sufficient Stock
416,273,11,5,87,35,59,Safe,Sufficient Stock
417,273,11,6,81,35,59,Safe,Sufficient Stock
418,273,12,4,78,35,62,Safe,Sufficient Stock
419,273,12,5,78,35,62,Safe,Sufficient Stock
420,273,12,6,69,35,62,Safe,Sufficient Stock
421,273,13,4,20,14,27,Safe,Overdue / Order Now
422,273,13,5,27,14,27,Safe,Reorder Point Reached
423,273,13,6,37,14,27,Safe,Sufficient Stock
424,273,14,4,34,23,40,Safe,Overdue / Order Now
425,273,14,5,30,23,40,Safe,Overdue / Order Now
426,273,14,6,27,23,40,Safe,Overdue / Order Now
427,273,15,4,236,87,176,Safe,Sufficient Stock
428,273,15,5,132,87,176,Safe,Overdue / Order Now
429,273,15,6,209,87,176,Safe,Sufficient Stock
430,273,16,4,303,151,171,Safe,Sufficient Stock
431,273,16,5,264,151,171,Safe,Sufficient Stock
432,273,16,6,272,151,171,Safe,Sufficient Stock
433,304,1,4,228,86,166,Safe,Sufficient Stock
434,304,1,5,231,86,166,Safe,Sufficient Stock
435,304,1,6,129,86,166,Safe,Overdue / Order Now
436,304,2,4,387,189,303,Safe,Sufficient Stock
437,304,2,5,173,189,303,Critical,Overdue / Order Now
438,304,2,6,381,189,303,Safe,Sufficient Stock
439,304,3,4,231,98,178,Safe,Sufficient Stock
440,304,3,5,198,98,178,Safe,Sufficient Stock
441,304,3,6,143,98,178,Safe,Overdue / Order Now
442,304,4,4,419,244,274,Safe,Sufficient Stock
443,304,4,5,478,244,274,Safe,Sufficient Stock
444,304,4,6,446,244,274,Safe,Sufficient Stock
445,304,5,4,207,113,179,Safe,Sufficient Stock
446,304,5,5,172,113,179,Safe,Overdue / Order Now
447,304,5,6,199,113,179,Safe,Sufficient Stock
448,304,6,4,360,150,301,Safe,Sufficient Stock
449,304,6,5,228,150,301,Safe,Overdue / Order Now
450,304,6,6,324,150,301,Safe,Sufficient Stock
451,304,7,4,210,110,180,Safe,Sufficient Stock
452,304,7,5,102,110,180,Critical,Overdue / Order Now
453,304,7,6,177,110,180,Safe,Overdue / Order Now
454,304,8,4,132,113,141,Safe,Overdue / Order Now
455,304,8,5,130,113,141,Safe,Overdue / Order Now
456,304,8,6,239,113,141,Safe,Sufficient Stock
457,304,9,4,119,96,162,Safe,Overdue / Order Now
458,304,9,5,248,96,162,Safe,Sufficient Stock
459,304,9,6,216,96,162,Safe,Sufficient Stock
460,304,10,4,50,26,43,Safe,Sufficient Stock
461,304,10,5,30,26,43,Safe,Overdue / Order Now
462,304,10,6,36,26,43,Safe,Overdue / Order Now
463,304,11,4,85,33,59,Safe,Sufficient Stock
464,304,11,5,50,33,59,Safe,Overdue / Order Now
465,304,11,6,61,33,59,Safe,Sufficient Stock
466,304,12,4,53,31,57,Safe,Overdue / Order Now
467,304,12,5,64,31,57,Safe,Sufficient Stock
468,304,12,6,55,31,57,Safe,Overdue / Order Now
469,304,13,4,28,25,39,Safe,Overdue / Order Now
470,304,13,5,31,25,39,Safe,Overdue / Order Now
471,304,13,6,57,25,39,Safe,Sufficient Stock
472,304,14,4,43,19,31,Safe,Sufficient Stock
473,304,14,5,43,19,31,Safe,Sufficient Stock
474,304,14,6,37,19,31,Safe,Sufficient Stock
475,304,15,4,573,279,439,Safe,Sufficient Stock
476,304,15,5,602,279,439,Safe,Sufficient Stock
477,304,15,6,461,279,439,Safe,Sufficient Stock
478,304,16,4,583,276,558,Safe,Sufficient Stock
479,304,16,5,384,276,558,Safe,Overdue / Order Now
480,304,16,6,444,276,558,Safe,Overdue / Order Now
481,334,1,4,153,126,213,Safe,Overdue / Order Now
482,334,1,5,239,126,213,Safe,Sufficient Stock
483,334,1,6,119,126,213,Critical,Overdue / Order Now
484,334,2,4,84,49,125,Safe,Overdue / Order Now
485,334,2,5,70,49,125,Safe,Overdue / Order Now
486,334,2,6,134,49,125,Safe,Sufficient Stock
487,334,3,4,411,188,256,Safe,Sufficient Stock
488,334,3,5,418,188,256,Safe,Sufficient Stock
489,334,3,6,391,188,256,Safe,Sufficient Stock
490,334,4,4,98,46,93,Safe,Sufficient Stock
491,334,4,5,73,46,93,Safe,Overdue / Order Now
492,334,4,6,131,46,93,Safe,Sufficient Stock
493,334,5,4,238,158,302,Safe,Overdue / Order Now
494,334,5,5,191,158,302,Safe,Overdue / Order Now
495,334,5,6,347,158,302,Safe,Sufficient Stock
496,334,6,4,176,118,120,Safe,Sufficient Stock
497,334,6,5,157,118,120,Safe,Sufficient Stock
498,334,6,6,222,118,120,Safe,Sufficient Stock
499,334,7,4,69,60,81,Safe,Overdue / Order Now
500,334,7,5,76,60,81,Safe,Overdue / Order Now
501,334,7,6,110,60,81,Safe,Sufficient Stock
502,334,8,4,78,68,91,Safe,Overdue / Order Now
503,334,8,5,117,68,91,Safe,Sufficient Stock
504,334,8,6,71,68,91,Warning,Overdue / Order Now
505,334,9,4,136,58,101,Safe,Sufficient Stock
506,334,9,5,134,58,101,Safe,Sufficient Stock
507,334,9,6,159,58,101,Safe,Sufficient Stock
